Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C10_4, C10_3, C10_2, C10, C11_4, C11_3, C11_2, C11, C12_4, C12_3, C12_2, C12, C13_4, C13_3, C13_2, C13, C17_4, C17_3, C17_2, C17, C18_4, C18_3, C18_2, C18, C19_4, C19_3, C19_2, C19, C2_4, C2_3, C2_2, C2, C21_4, C21_3, C21_2, C21, C24_4, C24_3, C24_2, C24, C26_4, C26_3, C26_2, C26, C29_4, C29_3, C29_2, C29, C3_4, C3_3, C3_2, C3, C30_4, C30_3, C30_2, C30, C31_4, C31_3, C31_2, C31, C32_4, C32_3, C32_2, C32, C34_4, C34_3, C34_2, C34, C35_4, C35_3, C35_2, C35, C37_4, C37_3, C37_2, C37, C38_4, C38_3, C38_2, C38, C4_4, C4_3, C4_2, C4, C8_4, C8_3, C8_2, C8, C9_4, C9_3, C9_2, C9",0402,96,100n,
"C14_4, C14_3, C14_2, C14, C5_4, C5_3, C5_2, C5",CP_Elec_6.3x5.4,8,100μ,
"C15_4, C15_3, C15_2, C15, C6_4, C6_3, C6_2, C6",0603,8,2u2,
"C16_4, C16_3, C16_2, C16, C7_4, C7_3, C7_2, C7",0402,8,22n,
"C20_4, C20_3, C20_2, C20, C25_4, C25_3, C25_2, C25",0603,8,10u,
"C22_4, C22_3, C22_2, C22",0805,4,47u,
"C23_4, C23_3, C23_2, C23, C28_4, C28_3, C28_2, C28",0402,8,33n,
"C27_4, C27_3, C27_2, C27",1206,4,100u,
"C33_4, C33_3, C33_2, C33",0603,4,22u,
"C36_4, C36_3, C36_2, C36",0402,4,1u,
"C39_4, C39_3, C39_2, C39, C40_4, C40_3, C40_2, C40, C41_4, C41_3, C41_2, C41, C42_4, C42_3, C42_2, C42, C43_4, C43_3, C43_2, C43, C44_4, C44_3, C44_2, C44, C45_4, C45_3, C45_2, C45, C46_4, C46_3, C46_2, C46",0603,32,1n,
"D1_4, D1_3, D1_2, D1",D_SOD-123F,4,DSK24L,
"D2_4, D2_3, D2_2, D2, D3_4, D3_3, D3_2, D3, D6_4, D6_3, D6_2, D6, D7_4, D7_3, D7_2, D7, D8_4, D8_3, D8_2, D8, D9_4, D9_3, D9_2, D9",SOT-23,24,BAV99W,
"D4_4, D4_3, D4_2, D4, D5_4, D5_3, D5_2, D5",WS2812B-4020,8,WS2812B-4020,
"F1_4, F1_3, F1_2, F1, F2_4, F2_3, F2_2, F2",Fuseholder_Littelfuse_Nano2_154x,8,Fuse,
"J1_4, J1_3, J1_2, J1, J2_4, J2_3, J2_2, J2",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,8,JST_PH,
"J3_4, J3_3, J3_2, J3",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,4,USB_C_Receptacle_USB2.0_16P,
"J4_4, J4_3, J4_2, J4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,JST_XH,
"J5_4, J5_3, J5_2, J5, J9_4, J9_3, J9_2, J9",PinHeader_1x04_P2.54mm_Vertical,8,Conn_01x04,
"J6_4, J6_3, J6_2, J6, J7_4, J7_3, J7_2, J7",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,8,Conn_01x04,
"J8_4, J8_3, J8_2, J8",JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,4,Conn_01x03,
"L1_4, L1_3, L1_2, L1, L2_4, L2_3, L2_2, L2",1210,8,2u2,
"L10_4, L10_3, L10_2, L10, L11_4, L11_3, L11_2, L11, L12_4, L12_3, L12_2, L12, L13_4, L13_3, L13_2, L13, L14_4, L14_3, L14_2, L14, L3_4, L3_3, L3_2, L3, L4_4, L4_3, L4_2, L4, L5_4, L5_3, L5_2, L5, L6_4, L6_3, L6_2, L6, L7_4, L7_3, L7_2, L7, L8_4, L8_3, L8_2, L8, L9_4, L9_3, L9_2, L9",0603,48,BLM18KG121TN1D,
"Q1_4, Q1_3, Q1_2, Q1",SOT-23,4,BC817,
"R1_4, R1_3, R1_2, R1, R2_4, R2_3, R2_2, R2, R3_4, R3_3, R3_2, R3, R4_4, R4_3, R4_2, R4",1206,16,100m,
"R10_4, R10_3, R10_2, R10, R11_4, R11_3, R11_2, R11",0603,8,5.1k,
"R12_4, R12_3, R12_2, R12, R21_4, R21_3, R21_2, R21",0402,8,1k,
"R13_4, R13_3, R13_2, R13, R14_4, R14_3, R14_2, R14, R20_4, R20_3, R20_2, R20, R6_4, R6_3, R6_2, R6, R9_4, R9_3, R9_2, R9",0402,20,10k,
"R15_4, R15_3, R15_2, R15, R18_4, R18_3, R18_2, R18, R19_4, R19_3, R19_2, R19",0402,12,0R,
"R16_4, R16_3, R16_2, R16, R17_4, R17_3, R17_2, R17, R22_4, R22_3, R22_2, R22, R23_4, R23_3, R23_2, R23, R24_4, R24_3, R24_2, R24, R25_4, R25_3, R25_2, R25",0603,24,100R,
"R5_4, R5_3, R5_2, R5",0402,4,52k3,
"R7_4, R7_3, R7_2, R7",0402,4,14k7,
"R8_4, R8_3, R8_2, R8",0402,4,30k9,
"SW1_4, SW1_3, SW1_2, SW1",SS12D10G5,4,SW_SPDT,
"SW2_4, SW2_3, SW2_2, SW2, SW3_4, SW3_3, SW3_2, SW3",SW_SPST_B3U-1000P,8,B3U-1000P,
"TP1_4, TP1_3, TP1_2, TP1, TP10_4, TP10_3, TP10_2, TP10, TP11_4, TP11_3, TP11_2, TP11, TP12_4, TP12_3, TP12_2, TP12, TP13_4, TP13_3, TP13_2, TP13, TP14_4, TP14_3, TP14_2, TP14, TP15_4, TP15_3, TP15_2, TP15, TP16_4, TP16_3, TP16_2, TP16, TP17_4, TP17_3, TP17_2, TP17, TP18_4, TP18_3, TP18_2, TP18, TP19_4, TP19_3, TP19_2, TP19, TP2_4, TP2_3, TP2_2, TP2, TP21_4, TP21_3, TP21_2, TP21, TP22_4, TP22_3, TP22_2, TP22, TP23_4, TP23_3, TP23_2, TP23, TP3_4, TP3_3, TP3_2, TP3, TP4_4, TP4_3, TP4_2, TP4, TP5_4, TP5_3, TP5_2, TP5, TP6_4, TP6_3, TP6_2, TP6, TP7_4, TP7_3, TP7_2, TP7, TP8_4, TP8_3, TP8_2, TP8, TP9_4, TP9_3, TP9_2, TP9",TestPoint_Pad_D1.5mm,88,TestPoint,
"U1_4, U1_3, U1_2, U1, U2_4, U2_3, U2_2, U2",VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,8,TMC2209-LA,
"U3_4, U3_3, U3_2, U3, U4_4, U4_3, U4_2, U4",SOT-583-8,8,TPS62933,
"U5_4, U5_3, U5_2, U5",SOT-666,4,USBLC6-2P6,
"U6_4, U6_3, U6_2, U6",LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,4,LSM6DS3,
"U7_4, U7_3, U7_2, U7",ESP32-S2-MINI-1,4,ESP32-S3-MINI-1,
