Designator,Mid X,Mid Y,Rotation,Layer
C1_4,131.25,-160.35,0.0,top
C1_3,181.25,-160.35,0.0,top
C1_2,168.85,-139.75,180.0,top
C1,118.85,-139.75,180.0,top
C10_4,131.25,-173.85,0.0,top
C10_3,181.25,-173.85,0.0,top
C10_2,168.85,-126.25,180.0,top
C10,118.85,-126.25,180.0,top
C11_4,181.25,-166.65,180.0,top
C11_3,131.25,-166.65,180.0,top
C11_2,168.85,-133.45,0.0,top
C11,118.85,-133.45,0.0,top
C12_4,136.6,-173.05,90.0,top
C12_3,186.6,-173.05,90.0,top
C12_2,163.5,-127.05,270.0,top
C12,113.5,-127.05,270.0,top
C13_4,136.6,-167.45,270.0,top
C13_3,186.6,-167.45,270.0,top
C13_2,163.5,-132.65,90.0,top
C13,113.5,-132.65,90.0,top
C14_4,174.1,-171.5,0.0,top
C14_3,124.1,-171.5,0.0,top
C14_2,176.0,-128.6,180.0,top
C14,126.0,-128.6,180.0,top
C15_4,179.5,-167.7,270.0,top
C15_3,129.5,-167.7,270.0,top
C15_2,170.6,-132.4,90.0,top
C15,120.6,-132.4,90.0,top
C16_4,183.1,-166.65,0.0,top
C16_3,133.1,-166.65,0.0,top
C16_2,167.0,-133.45,180.0,top
C16,117.0,-133.45,180.0,top
C17_4,187.55,-167.45,90.0,top
C17_3,137.55,-167.45,90.0,top
C17_2,162.55,-132.65,270.0,top
C17,112.55,-132.65,270.0,top
C18_4,137.55,-173.05,270.0,top
C18_3,187.55,-173.05,270.0,top
C18_2,162.55,-127.05,90.0,top
C18,112.55,-127.05,90.0,top
C19_4,115.45,-167.2,90.0,top
C19_3,165.45,-167.2,90.0,top
C19_2,184.65,-132.9,270.0,top
C19,134.65,-132.9,270.0,top
C2_4,181.25,-153.15,180.0,top
C2_3,131.25,-153.15,180.0,top
C2_2,168.85,-146.95,0.0,top
C2,118.85,-146.95,0.0,top
C20_4,165.15,-161.95,180.0,top
C20_3,115.15,-161.95,180.0,top
C20_2,184.95,-138.15,0.0,top
C20,134.95,-138.15,0.0,top
C21_4,165.55,-163.15,180.0,top
C21_3,115.55,-163.15,180.0,top
C21_2,184.55,-136.95,0.0,top
C21,134.55,-136.95,0.0,top
C22_4,162.15,-164.15,0.0,top
C22_3,112.15,-164.15,0.0,top
C22_2,187.95,-135.95,180.0,top
C22,137.95,-135.95,180.0,top
C23_4,116.75,-167.2,270.0,top
C23_3,166.75,-167.2,270.0,top
C23_2,183.35,-132.9,90.0,top
C23,133.35,-132.9,90.0,top
C24_4,164.3,-175.15,90.0,top
C24_3,114.3,-175.15,90.0,top
C24_2,185.8,-124.95,270.0,top
C24,135.8,-124.95,270.0,top
C25_4,164.0,-169.9,180.0,top
C25_3,114.0,-169.9,180.0,top
C25_2,186.1,-130.2,0.0,top
C25,136.1,-130.2,0.0,top
C26_4,164.4,-171.1,180.0,top
C26_3,114.4,-171.1,180.0,top
C26_2,185.7,-129.0,0.0,top
C26,135.7,-129.0,0.0,top
C27_4,160.4,-171.95,0.0,top
C27_3,110.4,-171.95,0.0,top
C27_2,189.7,-128.15,180.0,top
C27,139.7,-128.15,180.0,top
C28_4,165.6,-175.15,270.0,top
C28_3,115.6,-175.15,270.0,top
C28_2,184.5,-124.95,90.0,top
C28,134.5,-124.95,90.0,top
C29_4,177.75,-179.75,90.0,top
C29_3,127.75,-179.75,90.0,top
C29_2,172.35,-120.35,270.0,top
C29,122.35,-120.35,270.0,top
C3_4,186.6,-159.55,90.0,top
C3_3,136.6,-159.55,90.0,top
C3_2,163.5,-140.55,270.0,top
C3,113.5,-140.55,270.0,top
C30_4,176.55,-177.2,270.0,top
C30_3,126.55,-177.2,270.0,top
C30_2,173.55,-122.9,90.0,top
C30,123.55,-122.9,90.0,top
C31_4,108.4,-185.2,180.0,top
C31_3,158.4,-185.2,180.0,top
C31_2,191.7,-114.9,0.0,top
C31,141.7,-114.9,0.0,top
C32_4,106.5,-185.2,0.0,top
C32_3,156.5,-185.2,0.0,top
C32_2,193.6,-114.9,180.0,top
C32,143.6,-114.9,180.0,top
C33_4,133.8,-195.05,90.0,top
C33_3,183.8,-195.05,90.0,top
C33_2,166.3,-105.05,270.0,top
C33,116.3,-105.05,270.0,top
C34_4,183.55,-197.45,270.0,top
C34_3,133.55,-197.45,270.0,top
C34_2,166.55,-102.65,90.0,top
C34,116.55,-102.65,90.0,top
C35_4,116.65,-198.75,270.0,top
C35_3,166.65,-198.75,270.0,top
C35_2,183.45,-101.35,90.0,top
C35,133.45,-101.35,90.0,top
C36_4,116.65,-196.9,90.0,top
C36_3,166.65,-196.9,90.0,top
C36_2,183.45,-103.2,270.0,top
C36,133.45,-103.2,270.0,top
C37_4,152.9,-185.35,270.0,top
C37_3,102.9,-185.35,270.0,top
C37_2,197.2,-114.75,90.0,top
C37,147.2,-114.75,90.0,top
C38_4,102.9,-189.75,270.0,top
C38_3,152.9,-189.75,270.0,top
C38_2,197.2,-110.35,90.0,top
C38,147.2,-110.35,90.0,top
C39_4,141.8,-152.95,180.0,top
C39_3,191.8,-152.95,180.0,top
C39_2,158.3,-147.15,0.0,top
C39,108.3,-147.15,0.0,top
C4_4,186.6,-153.95,270.0,top
C4_3,136.6,-153.95,270.0,top
C4_2,163.5,-146.15,90.0,top
C4,113.5,-146.15,90.0,top
C40_4,191.8,-154.45,180.0,top
C40_3,141.8,-154.45,180.0,top
C40_2,158.3,-145.65,0.0,top
C40,108.3,-145.65,0.0,top
C41_4,141.8,-159.05,180.0,top
C41_3,191.8,-159.05,180.0,top
C41_2,158.3,-141.05,0.0,top
C41,108.3,-141.05,0.0,top
C42_4,141.8,-160.55,180.0,top
C42_3,191.8,-160.55,180.0,top
C42_2,158.3,-139.55,0.0,top
C42,108.3,-139.55,0.0,top
C43_4,141.8,-166.45,180.0,top
C43_3,191.8,-166.45,180.0,top
C43_2,158.3,-133.65,0.0,top
C43,108.3,-133.65,0.0,top
C44_4,141.8,-167.95,180.0,top
C44_3,191.8,-167.95,180.0,top
C44_2,158.3,-132.15,0.0,top
C44,108.3,-132.15,0.0,top
C45_4,191.8,-172.55,180.0,top
C45_3,141.8,-172.55,180.0,top
C45_2,158.3,-127.55,0.0,top
C45,108.3,-127.55,0.0,top
C46_4,191.8,-174.05,180.0,top
C46_3,141.8,-174.05,180.0,top
C46_2,158.3,-126.05,0.0,top
C46,108.3,-126.05,0.0,top
C5_4,125.2,-155.1,90.0,top
C5_3,175.2,-155.1,90.0,top
C5_2,174.9,-145.0,270.0,top
C5,124.9,-145.0,270.0,top
C6_4,129.5,-154.2,270.0,top
C6_3,179.5,-154.2,270.0,top
C6_2,170.6,-145.9,90.0,top
C6,120.6,-145.9,90.0,top
C7_4,133.1,-153.15,0.0,top
C7_3,183.1,-153.15,0.0,top
C7_2,167.0,-146.95,180.0,top
C7,117.0,-146.95,180.0,top
C8_4,137.55,-153.95,90.0,top
C8_3,187.55,-153.95,90.0,top
C8_2,162.55,-146.15,270.0,top
C8,112.55,-146.15,270.0,top
C9_4,137.55,-159.55,270.0,top
C9_3,187.55,-159.55,270.0,top
C9_2,162.55,-140.55,90.0,top
C9,112.55,-140.55,90.0,top
D1_4,148.95,-189.4,270.0,top
D1_3,198.95,-189.4,270.0,top
D1_2,151.15,-110.7,90.0,top
D1,101.15,-110.7,90.0,top
D2_4,154.7,-192.95,90.0,top
D2_3,104.7,-192.95,90.0,top
D2_2,195.4,-107.15,270.0,top
D2,145.4,-107.15,270.0,top
D3_4,158.1,-192.95,90.0,top
D3_3,108.1,-192.95,90.0,top
